Visitor ID,Visitor: Last Visit,Number of Days Active,Number of Events,Visitor: Most recent browser name
anonymous-1759846775508,2025-10-07 10:19:35,1,2,Chrome
anonymous-1759802177357,2025-10-07 09:25:06,2,5,Safari
anonymous-1759843250633,2025-10-07 09:20:51,1,3,Chrome
anonymous-1759786255831,2025-10-06 17:30:56,1,3,Chrome
anonymous-1759784449408,2025-10-06 17:00:49,1,2,Chrome
anonymous-1759782126123,2025-10-06 16:22:06,1,2,Chrome
anonymous-1759781027558,2025-10-06 16:03:47,1,3,Chrome
anonymous-1759780872884,2025-10-06 16:01:13,1,3,Safari
20,2025-10-06 15:50:02,1,27,Safari
anonymous-1759780201351,2025-10-06 15:50:01,1,2,Safari
anonymous-1759780189625,2025-10-06 15:49:49,1,2,Safari
anonymous-1759780132078,2025-10-06 15:49:16,1,15,Safari
anonymous-1759772359993,2025-10-06 13:39:21,1,2,Safari
anonymous-1759759930434,2025-10-06 10:12:11,1,3,Safari
anonymous-1759759221197,2025-10-06 10:00:23,1,2,Chrome
55,2025-10-06 09:58:27,1,49,Chrome
anonymous-1759759096749,2025-10-06 09:58:18,1,2,Chrome
anonymous-1759759063496,2025-10-06 09:57:45,1,2,Chrome
anonymous-1759758972877,2025-10-06 09:57:06,1,16,Chrome
anonymous-1759727760209,2025-10-06 01:16:00,1,4,Chrome
anonymous-1759726981266,2025-10-06 01:03:01,1,2,Safari
anonymous-1759724620477,2025-10-06 00:23:40,1,2,Chrome
16,2025-10-06 00:11:08,2,18,Safari
anonymous-1759723860317,2025-10-06 00:11:01,1,2,Safari
anonymous-1759722317188,2025-10-05 23:45:17,1,3,Chrome
anonymous-1759721431410,2025-10-05 23:30:31,1,3,Chrome
anonymous-1759719730012,2025-10-05 23:02:10,1,2,Chrome
anonymous-1759719724807,2025-10-05 23:02:05,1,2,Chrome
anonymous-1759717342356,2025-10-05 22:22:22,1,2,Chrome
anonymous-1759715663131,2025-10-05 21:54:23,1,2,Safari
anonymous-1759715203648,2025-10-05 21:46:43,1,3,Chrome
anonymous-1759713097648,2025-10-05 21:11:37,1,3,Safari
anonymous-1759713047781,2025-10-05 21:10:47,1,14,Safari
anonymous-1759713041228,2025-10-05 21:10:41,1,3,Safari
anonymous-1759712909018,2025-10-05 21:08:29,1,3,Chrome
42,2025-10-05 20:52:16,3,28,Safari
anonymous-1759711811705,2025-10-05 20:50:11,1,13,Safari
anonymous-1759710282265,2025-10-05 20:24:42,1,3,Chrome
anonymous-1759710067240,2025-10-05 20:21:07,1,3,Chrome
anonymous-1759710013901,2025-10-05 20:20:14,1,15,Safari
anonymous-1759709756275,2025-10-05 20:15:56,1,2,Chrome
anonymous-1759709491971,2025-10-05 20:11:32,1,3,Chrome
anonymous-1759709384280,2025-10-05 20:09:44,1,2,Chrome
anonymous-1759708995315,2025-10-05 20:03:15,1,2,Chrome
anonymous-1759705710616,2025-10-05 19:08:30,1,15,Safari
